12-05-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
12-05-20,00:34:15,XBTUSD, 8608, 8608.5, 8608, 8608.5, 111, 181690, 8608.8154, 100, 2110563555, 21.105635550000006, 181690
12-05-20,00:35:15,XBTUSD, 8608.5, 8612, 8608, 8612, 259, 742009, 8610.2979, 500, 8617920894, 86.17920894000001, 742009
12-05-20,00:36:15,XBTUSD, 8612, 8612, 8611.5, 8612, 115, 238917, 8612, 1500, 2774304204, 27.74304204, 238917
12-05-20,00:37:15,XBTUSD, 8612, 8612, 8584, 8593.5, 896, 2675821, 8602.1505, 6000, 31108744513, 311.08744513, 2675821
12-05-20,00:38:15,XBTUSD, 8593.5, 8601, 8593, 8601, 201, 219463, 8596.9739, 10, 2552833603, 25.52833603, 219463
12-05-20,00:39:15,XBTUSD, 8601, 8601, 8584, 8584, 524, 1502531, 8589.5894, 100, 17492669131, 174.92669131000002, 1502531
12-05-20,00:40:15,XBTUSD, 8584, 8584.5, 8580, 8580, 374, 2207587, 8581.4812, 342, 25726958294, 257.26958294, 2207587
12-05-20,00:41:15,XBTUSD, 8580, 8599, 8575, 8598.5, 756, 2002737, 8585.1648, 500, 23329665812, 233.29665812000005, 2002737
12-05-20,00:42:15,XBTUSD, 8598.5, 8602, 8598.5, 8602, 247, 526721, 8599.9312, 3000, 6124921324, 61.24921324000002, 526721
12-05-20,00:43:15,XBTUSD, 8602, 8604.5, 8597, 8597, 290, 1293130, 8602.1505, 20000, 15032943271, 150.32943271, 1293130
12-05-20,00:44:15,XBTUSD, 8597, 8603, 8596.5, 8602.5, 141, 342522, 8599.1917, 500, 3983245572, 39.83245572, 342522
12-05-20,00:45:15,XBTUSD, 8602.5, 8603, 8584, 8584.5, 424, 1774458, 8591.8034, 2784, 20654396307, 206.54396307000002, 1774458
12-05-20,00:46:15,XBTUSD, 8584.5, 8588, 8579, 8579, 376, 1261395, 8582.9543, 30, 14697142411, 146.97142411000002, 1261395
12-05-20,00:47:15,XBTUSD, 8579, 8578.5, 8561.5, 8572.5, 805, 2205506, 8569.7146, 100, 25736067017, 257.36067017, 2205506
12-05-20,00:48:15,XBTUSD, 8572.5, 8583, 8572, 8583, 338, 1001433, 8580.0086, 1526, 11671857323, 116.71857323000002, 1001433
12-05-20,00:49:15,XBTUSD, 8583, 8598.5, 8582.5, 8595.5, 452, 1009407, 8592.5417, 10, 11748045924, 117.48045923999999, 1009407
12-05-20,00:50:15,XBTUSD, 8595.5, 8603.5, 8595, 8599.5, 344, 1525080, 8600.6709, 1, 17733109880, 177.33109880000003, 1525080
12-05-20,00:51:15,XBTUSD, 8599.5, 8605.5, 8599, 8603, 298, 981816, 8604.371, 10, 11411279085, 114.11279085000002, 981816
12-05-20,00:52:15,XBTUSD, 8603, 8603, 8600, 8600, 122, 605154, 8601.4106, 1, 7036053019, 70.36053019, 605154
12-05-20,00:53:15,XBTUSD, 8600, 8600.5, 8598.5, 8598.5, 114, 402061, 8599.9312, 4, 4675366804, 46.753668039999994, 402061
12-05-20,00:54:15,XBTUSD, 8598.5, 8598.5, 8582.5, 8587, 383, 1039121, 8588.8517, 4, 12098763594, 120.98763594000002, 1039121
12-05-20,00:55:15,XBTUSD, 8587, 8590.5, 8586.5, 8590, 153, 359532, 8588.8517, 3000, 4186348316, 41.86348316, 359532
12-05-20,00:56:15,XBTUSD, 8590, 8597, 8590, 8590, 376, 947077, 8594.7572, 1000, 11019622017, 110.19622016999999, 947077
12-05-20,00:57:15,XBTUSD, 8590, 8597, 8587.5, 8597, 197, 374700, 8591.8034, 8080, 4361494036, 43.61494036, 374700
12-05-20,00:58:15,XBTUSD, 8597, 8607, 8596.5, 8607, 306, 1048131, 8600.6709, 10000, 12187545677, 121.87545676999999, 1048131
12-05-20,23:54:15,XBTUSD, 8796.5, 8797, 8792.5, 8793.5, 235, 609170, 8795.8484, 873, 6925882965, 69.25882965000001, 609170
12-05-20,23:55:15,XBTUSD, 8793.5, 8793.5, 8793, 8793, 92, 143860, 8793.528, 1, 1636078163, 16.36078163, 143860
12-05-20,23:56:15,XBTUSD, 8793, 8793.5, 8787, 8787, 355, 1092314, 8791.2088, 146, 12425748161, 124.25748161, 1092314
12-05-20,23:57:15,XBTUSD, 8787, 8796, 8785.5, 8796, 430, 1520525, 8790.436, 34057, 17297527657, 172.97527657, 1520525
12-05-20,23:58:15,XBTUSD, 8796, 8805, 8795.5, 8805, 280, 650211, 8800.4928, 13824, 7388570501, 73.88570501000001, 650211
12-05-20,23:59:15,XBTUSD, 8805, 8818, 8804.5, 8817.5, 758, 2945075, 8811.349, 5000, 33426091307, 334.2609130700001, 2945075
