18-04-20,00:00:01,orderID, symbol, side, price, leavesQty
19-04-20,00:16:15,f2a444fd-89f3-c54a-1dbe-ab09f3995151, XBTUSD, Sell, 7220, 50619
19-04-20,00:16:15,f2a444fd-89f3-c54a-1dbe-ab09f3995151, XBTUSD, Sell, 7220, 50619
19-04-20,00:16:27,eead0623-5879-bd08-452b-47f9e4840c33, XBTUSD, Sell, 7212.5, 45435
19-04-20,00:16:27,eead0623-5879-bd08-452b-47f9e4840c33, XBTUSD, Sell, 7212.5, 45435
19-04-20,00:16:33,de78aeaa-52b4-d3fc-d2e6-d2c226bfc096, XBTUSD, Sell, 7204.5, 4114
19-04-20,00:16:33,de78aeaa-52b4-d3fc-d2e6-d2c226bfc096, XBTUSD, Sell, 7204.5, 4114
19-04-20,05:53:47,a1078bff-ff7a-1c66-c82b-a33148807545, XBTUSD, Sell, 7194, 57357
19-04-20,05:53:47,a1078bff-ff7a-1c66-c82b-a33148807545, XBTUSD, Sell, 7194, 57357
19-04-20,05:53:53,f4095744-a4f0-626d-fb0d-bf2388420b57, XBTUSD, Sell, 7186.5, 712354
19-04-20,05:53:53,f4095744-a4f0-626d-fb0d-bf2388420b57, XBTUSD, Sell, 7186.5, 712354
19-04-20,05:53:58,b8f47ae0-45ef-5938-c6e6-22ab9783bb70, XBTUSD, Sell, 7173, 2147910
19-04-20,05:53:58,b8f47ae0-45ef-5938-c6e6-22ab9783bb70, XBTUSD, Sell, 7173, 2147910
19-04-20,05:54:03,63bf3235-65e8-2564-2072-2f01d4a9c524, XBTUSD, Sell, 7152.5, 5206136
19-04-20,05:54:03,63bf3235-65e8-2564-2072-2f01d4a9c524, XBTUSD, Sell, 7152.5, 5206136
19-04-20,05:54:09,08290dad-fe2c-bba8-a58e-51c6ebbd6746, XBTUSD, Sell, 7145, 477378
19-04-20,05:54:09,08290dad-fe2c-bba8-a58e-51c6ebbd6746, XBTUSD, Sell, 7145, 477378
19-04-20,05:54:20,24941301-e44e-5939-f027-1c96ab30d571, XBTUSD, Sell, 7137, 124844
19-04-20,05:54:20,24941301-e44e-5939-f027-1c96ab30d571, XBTUSD, Sell, 7137, 124844
19-04-20,05:59:01,81154d46-ee27-2f8c-4894-ef1677111b27, XBTUSD, Sell, 7124, 3318968
19-04-20,05:59:01,81154d46-ee27-2f8c-4894-ef1677111b27, XBTUSD, Sell, 7124, 3318968
19-04-20,05:59:07,7777687b-9605-3b32-b0e3-d00f8848a698, XBTUSD, Sell, 7113, 805060
19-04-20,05:59:07,7777687b-9605-3b32-b0e3-d00f8848a698, XBTUSD, Sell, 7113, 805060
19-04-20,06:22:55,ee1c4dca-2c40-a351-b21d-f99d40052e09, XBTUSD, Buy, 7159, 505
19-04-20,06:22:55,ee1c4dca-2c40-a351-b21d-f99d40052e09, XBTUSD, Buy, 7159, 505
19-04-20,09:55:43,631148a2-25ad-157a-563e-283e6e2e4643, XBTUSD, Buy, 7170, 10800
19-04-20,09:55:43,631148a2-25ad-157a-563e-283e6e2e4643, XBTUSD, Buy, 7170, 10800
19-04-20,09:55:49,8d1aaefd-301a-2354-4b56-75c1a1807358, XBTUSD, Buy, 7175.5, 21200
19-04-20,09:55:49,8d1aaefd-301a-2354-4b56-75c1a1807358, XBTUSD, Buy, 7175.5, 21200
19-04-20,09:55:54,750201ea-cf04-75d2-5d1b-fda562fc7ddb, XBTUSD, Buy, 7181, 44369
19-04-20,09:55:54,750201ea-cf04-75d2-5d1b-fda562fc7ddb, XBTUSD, Buy, 7181, 44369
19-04-20,13:09:06,d9800db1-a8a5-a6f7-e3d7-f5566fb63006, XBTUSD, Sell, 7143, 10930
19-04-20,13:09:06,d9800db1-a8a5-a6f7-e3d7-f5566fb63006, XBTUSD, Sell, 7143, 10930
19-04-20,13:38:50,e9bfc0a0-37d0-8f61-e54f-55cec0cee5a7, XBTUSD, Sell, 7138, 52733
19-04-20,13:38:50,e9bfc0a0-37d0-8f61-e54f-55cec0cee5a7, XBTUSD, Sell, 7138, 52733
19-04-20,13:38:56,fd9ff4c1-9b4c-adfb-617e-5df75a191d53, XBTUSD, Sell, 7136, 376
19-04-20,13:38:56,fd9ff4c1-9b4c-adfb-617e-5df75a191d53, XBTUSD, Sell, 7136, 376
19-04-20,13:39:07,fc9d7eb0-e54e-0c88-f470-7bf0eb19311f, XBTUSD, Sell, 7132.5, 188900
19-04-20,13:39:07,fc9d7eb0-e54e-0c88-f470-7bf0eb19311f, XBTUSD, Sell, 7132.5, 188900
19-04-20,13:39:12,bb2cda1a-2520-1b2b-d935-39eda432b174, XBTUSD, Sell, 7129.5, 11300
19-04-20,13:39:12,bb2cda1a-2520-1b2b-d935-39eda432b174, XBTUSD, Sell, 7129.5, 11300
